tamaki,1.0,0.65036196,0.47470063,0.35121676,0.4560856,0.5076932,0.69704837,0.5258238,0.7796036,0.6146026,0.4625062,0.59580976,0.6910194,0.50815403,0.60948336,0.78873736,0.59378237,0.70980287,0.49941567,0.4236612,0.5628098,0.6413816,0.59346783,0.5883148,0.58668524,0.49000022,0.6103767,0.5710885,0.6008928,0.5904541,0.5650054,0.5393949,0.7099388,0.62658817,0.56474864,0.47238442,0.6238253,0.53236395,0.59683543,0.4489249,0.50262415,0.821475,0.60903496,0.5700645,0.33190426,0.7257696,0.66903555,0.56269467,0.4932371,0.3013921,0.40779307,0.48549694,0.49717265,0.40032104,0.7332472
emiri-,0.65036196,1.0,0.41902792,0.38099712,0.46166334,0.55741286,0.599975,0.5512816,0.6489654,0.45634276,0.3341121,0.44563067,0.5086484,0.3525314,0.5942935,0.71461195,0.64296246,0.60475147,0.3370889,0.39175302,0.5140224,0.48186803,0.5502174,0.5902363,0.51530075,0.43281645,0.56326765,0.626526,0.5890605,0.5494743,0.4705278,0.52973604,0.7062809,0.45335525,0.3806137,0.38183942,0.5737511,0.3867808,0.48286867,0.35768664,0.34036642,0.63058746,0.45441914,0.5451742,0.32126337,0.5172401,0.61924183,0.3781211,0.49038243,0.29879597,0.40018326,0.51975906,0.47701365,0.39728364,0.56577075
subaru,0.47470063,0.41902792,1.0,0.3794455,0.6527567,0.4118405,0.40266865,0.575132,0.56260204,0.38733152,0.4173153,0.5565732,0.40291345,0.37822488,0.50278366,0.43919238,0.6227616,0.47978485,0.38301224,0.5922439,0.4886223,0.5564341,0.65096694,0.56584805,0.4806323,0.37455237,0.45470795,0.52270734,0.6076132,0.5116114,0.421352,0.3541388,0.52088904,0.4092677,0.4693612,0.26195082,0.43050247,0.46081802,0.4961934,0.24940234,0.38569996,0.44389728,0.3403406,0.6237926,0.47202554,0.43409362,0.430026,0.38544428,0.4582254,0.23254061,0.3252616,0.49647728,0.49768305,0.3286057,0.42108908
takane,0.35121676,0.38099712,0.3794455,1.0,0.39608502,0.6069855,0.27485418,0.5697689,0.41070154,0.30525577,0.32627535,0.30537513,0.27231923,0.26302496,0.49706125,0.3156006,0.46153894,0.41742602,0.25387824,0.37763506,0.34209433,0.3311491,0.47937104,0.5483514,0.29792577,0.3241085,0.32744718,0.52146435,0.45306528,0.37438795,0.2570647,0.4223583,0.3797242,0.32065895,0.25892812,0.22773312,0.4701383,0.25800267,0.3734197,0.21077068,0.21420024,0.32412937,0.26692596,0.38722447,0.5707695,0.31807253,0.30394167,0.23081218,0.6116487,0.30286697,0.5138174,0.47182494,0.595624,0.30075657,0.28791544
momoko,0.4560856,0.46166334,0.6527567,0.39608502,1.0,0.44316596,0.41989058,0.57073015,0.5540899,0.36429262,0.3883151,0.5071607,0.39087072,0.34007874,0.53069574,0.4409729,0.66114205,0.47774574,0.32366803,0.70526254,0.5720131,0.51761234,0.6373034,0.5331079,0.53701514,0.41803223,0.5109269,0.5836001,0.68734777,0.6235279,0.44529182,0.3796389,0.5616233,0.38980076,0.39910683,0.24959162,0.41241914,0.42271006,0.48408502,0.25181156,0.33815923,0.43583804,0.33633113,0.7476354,0.43934703,0.41034594,0.4698045,0.3401304,0.454847,0.28000692,0.3043946,0.59149545,0.5064286,0.4165759,0.4231189
siho,0.5076932,0.55741286,0.4118405,0.6069855,0.44316596,1.0,0.40213424,0.65097344,0.5530663,0.40331462,0.38850045,0.39554176,0.38113162,0.33520442,0.67621744,0.46309343,0.5812834,0.5386137,0.31651688,0.42379525,0.4418058,0.42105076,0.56114835,0.6486809,0.4025575,0.403287,0.4639977,0.6546976,0.5575085,0.4796598,0.35040283,0.55281657,0.5216657,0.4140527,0.34237072,0.31244716,0.6106037,0.32758373,0.4992371,0.28860348,0.28370285,0.46138132,0.368731,0.4901777,0.45129836,0.43037516,0.4369147,0.30633402,0.6310311,0.32775593,0.5171979,0.6101697,0.626414,0.40036255,0.40733346
mizuki,0.69704837,0.599975,0.40266865,0.27485418,0.41989058,0.40213424,1.0,0.41346598,0.6288414,0.5100382,0.37791657,0.567908,0.7197697,0.45253003,0.52053344,0.7355425,0.5078994,0.60411036,0.42710853,0.3978116,0.58402354,0.60801417,0.48262545,0.4469408,0.65378845,0.5227782,0.61249983,0.47408408,0.519996,0.56362134,0.6769088,0.47366175,0.6484145,0.53401935,0.49985376,0.43559107,0.45977324,0.5431561,0.55169743,0.45790607,0.507224,0.76116097,0.63983256,0.53118306,0.2516145,0.64675564,0.81442624,0.5239448,0.40044397,0.29840064,0.32824665,0.4408304,0.40496585,0.4265224,0.81345594
sizuka,0.5258238,0.5512816,0.575132,0.5697689,0.57073015,0.65097344,0.41346598,1.0,0.62496424,0.4139307,0.3898824,0.47230908,0.39437714,0.33423716,0.6387291,0.4904997,0.7336319,0.5671259,0.34780502,0.50037795,0.50370264,0.49273372,0.75733805,0.7933271,0.4608488,0.40886173,0.511823,0.7907239,0.7050935,0.5444263,0.39678985,0.51159614,0.5552121,0.43735948,0.37770134,0.28363788,0.5742472,0.3866351,0.49573094,0.26649332,0.3181696,0.4863461,0.35563383,0.6074717,0.53728694,0.4508877,0.45812747,0.33482945,0.660113,0.2993941,0.47151497,0.5964289,0.60638034,0.38439485,0.4275084
erena,0.7796036,0.6489654,0.56260204,0.41070154,0.5540899,0.5530663,0.6288414,0.62496424,1.0,0.5875569,0.4626634,0.63955355,0.62832487,0.4655798,0.68679667,0.70274925,0.7040563,0.77804756,0.48301592,0.5080293,0.6406224,0.6994,0.7418161,0.6873745,0.62238044,0.53346777,0.64038414,0.68058324,0.7401171,0.68801874,0.5702344,0.5648996,0.7640225,0.6195757,0.53250176,0.41206673,0.6414689,0.54683435,0.6305769,0.40342763,0.46820608,0.7472023,0.54486585,0.677999,0.39714906,0.69412464,0.65504795,0.49810106,0.57748866,0.3209523,0.4350707,0.55649537,0.57621807,0.42763665,0.6757501
megumi,0.6146026,0.45634276,0.38733152,0.30525577,0.36429262,0.40331462,0.5100382,0.4139307,0.5875569,1.0,0.43725562,0.50781727,0.66137487,0.46515244,0.44249266,0.56456447,0.42476752,0.56612456,0.6526881,0.3456013,0.4578324,0.52857125,0.4901035,0.47729906,0.4486715,0.432934,0.47651348,0.44777244,0.46910563,0.5081775,0.46482503,0.4776346,0.51407135,0.758799,0.53881675,0.5772186,0.5904338,0.49452162,0.44922692,0.579186,0.49436873,0.6264506,0.5672153,0.43734765,0.31917116,0.72834647,0.4726122,0.5644328,0.4129434,0.26996872,0.35641727,0.3518162,0.40254414,0.32092965,0.6123959
